tract_id,tract_name,latitude,longitude,total_population,median_income,car_ownership_rate,area_sq_km,poverty_rate,population_density
36061000100,Downtown Core,40.7128,-74.0060,8500,45000,0.35,2.1,0.18,4047.62
36061000200,University District,40.7505,-73.9934,12000,65000,0.25,3.5,0.12,3428.57
36061000300,Airport Area,40.6413,-73.7781,3200,38000,0.45,8.2,0.22,390.24
36061000400,Suburban West,40.7589,-73.9851,8900,72000,0.15,4.8,0.08,1854.17
36061000500,Industrial Zone,40.7505,-73.9934,2100,35000,0.60,12.3,0.25,170.73
36061000600,Residential North,40.7128,-74.0060,6500,52000,0.30,5.2,0.15,1250.00
36061000700,Business Center,40.7589,-73.9851,4200,85000,0.20,2.8,0.05,1500.00
36061000800,Park District,40.6413,-73.7781,1800,42000,0.50,6.5,0.20,276.92
36061000900,Historic Quarter,40.7505,-73.9934,3800,58000,0.25,3.1,0.10,1225.81
36061001000,Waterfront,40.7128,-74.0060,7200,68000,0.18,4.2,0.09,1714.29
